TNS Name,risetime,risetime_upper,risetime_lower,T_rise,T_rise_upper,T_rise_lower,T_fall,T_fall_upper,T_fall_lower,T_max,T_max_err,t_minus_half,t_minus_half_err,t_plus_half,t_plus_half_err,t_minus_five,t_plus_five,T_explode,T_explode_lower,T_explode_upper,fireball_power,fireball_power_lower,fireball_power_upper
2022gdw,33.078292776524904,11.306475542160722,-8.739274891612393,11.27240206315048,2.709587634837881,-2.536969932247379,78.46160677261884,17.94098111583199,-21.889032468765265,59684.67502966844,7.016162448739731,59655.684920496045,3.9120079442004276,59749.82780605652,7.766389501108147,59626.40186607415,59896.402792917834,59651.596736891915,-1.7231124428726616,4.290313093420991,1.8114530178973542,-0.22715912111936576,4.290313093420991
2022fpx,91.40261859822203,14.415187743532217,-14.560970760070406,18.587658592190913,0.8818124711766657,-0.9734671517288014,259.7230328765452,12.039747315097628,-11.847867792373847,59802.02603467657,13.687353826313258,59743.24180243768,4.856016463815079,60000.049405184385,13.386789117507542,59686.871142867734,,59710.62341607835,-0.8736169337571482,0.727833917218959,1.5028418019001129,-0.005570528224365212,0.727833917218959
2022exr,26.934260688562063,12.966082470089335,-12.159327168299372,3.798915581518581,0.6041609769518907,-0.5533642142608572,250.92251763470065,14.107458270510818,-14.695729167930637,59668.40954282119,9.549329875973656,59651.66354124153,2.456303002618593,59845.07526259866,16.684090856623946,59640.51455121443,,59641.475282132626,-2.6099972923257155,3.416752594115678,1.786794160190379,-0.22042408945200376,3.416752594115678
2022dyt,33.44432379336649,7.332232782695979,-13.586704890606239,8.327882855578359,1.1859977964855872,-1.1779255528284818,40.674885907454524,7.025984888186144,-7.931911647705881,59663.17418459479,4.901492149917072,59641.657994395435,2.602805263488335,59701.5835942467,3.6045194747425806,59610.18965467535,59815.34354431864,59629.729860801424,-8.685212740689167,2.4307406327789067,1.5907687879551942,-0.28122589743657866,2.4307406327789067
2022dsb,11.882245386041177,5.784611296316133,-5.512633086233099,1.4853136165275085,0.35832996800586847,-3.2963948508905414,30.326182272842708,8.605507316468529,-2.9462172591568603,59636.8816363904,4.610930271519455,59630.72231063559,1.9355393039682398,59659.51010004471,1.6940062756355123,59626.21796861924,59726.05816808016,59624.999391004356,-0.9017028147136443,1.1736810247966787,1.7715779204033482,-0.24388432466061105,1.1736810247966787
2022dbl,31.82627332807897,38.88868032928241,-39.40487488262971,3.6751435091047595,0.2787079930136529,-0.30137117371878297,29.966642070662125,1.8490900014812652,-1.9836727431885883,59640.421277116526,36.4335019424596,59627.20296285045,0.43650039420042636,59662.2727676421,3.228131952055704,59615.626881496995,59735.2551056974,59608.59500378845,-2.971372940170113,2.4551783868228085,1.591091427898443,-0.11388657073158615,2.4551783868228085
2022czy,27.261318441131152,8.602147575523762,-9.245306963615352,4.096203045900211,0.46195622587009,-0.49537900006903524,117.59183370328792,7.650326098683379,-8.083554882618884,59645.56848325187,6.909365780947613,59630.39208487974,1.827186205327471,59730.934726930696,5.719116846267341,59618.46248458517,,59618.307164810736,-2.3359411826677388,1.692781794576149,1.6250729159635484,-0.24446672291673166,1.692781794576149
2022csn,43.01436622532492,8.785647246712662,-46.055671949553265,8.36329490177668,0.7422534835981516,-0.8966650582569251,81.52212719584396,9.55985989226643,-8.301145372613831,59653.45409554705,7.348847278680088,59628.500342991436,2.4073274952944503,59716.37833731331,7.009183986165827,59605.98417936273,59884.02188736072,59610.439729321726,-38.706824670873175,1.4367999680325738,1.5415169652488272,-0.36095433336977,1.4367999680325738
2022bdw,35.83082801926503,6.166026557980074,-6.0306785044546976,6.1766445702663315,0.3895526812218755,-0.40165022251760973,29.646145869562563,2.123891797712396,-2.247895385550546,59632.050549836036,3.8666069248235706,59616.22232396891,1.0786362943299004,59659.65258595288,2.3433183577531222,59595.287714436876,59734.59359002805,59596.21972181677,-2.164071579631127,2.2994196331565036,1.573893349766345,-0.10002821767530934,2.2994196331565036
2022arb,48.44422086459235,8.27649671819793,-8.561050509659733,14.64688758322594,1.0412852385031446,-0.9026475708161499,41.62824723487951,6.248320193005718,-6.9078975408612635,59643.74950810027,4.720809913157178,59608.29797686372,2.061635546758911,59688.5055062693,2.952753321948986,59564.52111145491,59764.82368280561,59595.30528723568,-3.8402405965025537,3.55568680504075,1.58576794047935,-0.32434771215842395,3.55568680504075
