         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
57509.236560 18.336727      NaN    -92    56 c    0   1.02 105.8277 23.02908  3480.51  6434.71 3.98 3.74 -78.8 -0.442    18.25 19.19 02a57509o0051c       0
57509.243166 19.089302      NaN      5    27 c    0   0.97 105.8277 23.02908  3517.55  6395.00 3.95 3.71 -70.8 -0.443    18.83 20.26 02a57509o0064c       0
57509.253272 18.910912      NaN     32    23 c    0   1.12 105.8277 23.02908  3463.68  6375.04 3.90 3.67 -67.6 -0.449    19.03 20.67 02a57509o0084c       0
57509.266241 19.051202      NaN     29    20 c    0   1.31 105.8277 23.02908  3552.80  6450.54 3.89 3.61 -66.6 -0.457    19.02 20.65 02a57509o0110c       0
57509.282724 19.256669      NaN    -15    24 c    0   0.95 105.8277 23.02908  3446.66  6468.54 3.79 3.55 -65.1 -0.464    18.98 20.57 02a57509o0143c       0
57510.256171 19.197966 0.357150     78    25 c    0   0.93 105.8277 23.02908  3486.14  6430.03 3.97 3.68 -65.9 -0.465    18.98 20.62 02a57510o0082c       0
57510.271424 19.183773      NaN      4    25 c    0   1.03 105.8277 23.02908  3520.82  6388.89 3.91 3.64 -66.8 -0.467    18.95 20.58 02a57510o0112c       0
57510.288518 19.128787      NaN      2    27 c    0   1.08 105.8277 23.02908  3466.84  6369.54 4.03 3.75 -54.9 -0.464    18.86 20.52 02a57510o0146c       0
57511.274829 18.967180      NaN     18    26 c    0   1.04 105.8277 23.02908  5334.97  6607.69 4.07 3.78 -80.2 -0.464    18.89 20.54 02a57511o0129c    8192
57511.286306 18.889197      NaN     19    28 c    0   0.85 105.8277 23.02908  5317.05  6569.27 3.93 3.62 -79.3 -0.465    18.88 20.47 02a57511o0152c    8192
57513.243182 18.786693      NaN    -35    37 c    0   1.02 105.8277 23.02908  3395.81  5469.58 4.03 3.73 -66.5 -0.474    18.62 19.88 02a57513o0055c       0
57513.251557 19.212347      NaN     -3    25 c    0   0.97 105.8277 23.02908  3378.73  5430.07 3.97 3.69 -60.8 -0.475    18.92 20.45 02a57513o0071c       0
57513.262076 19.051202      NaN    -10    29 c    0   0.79 105.8277 23.02908  3431.41  5506.13 3.96 3.64 -59.7 -0.467    18.95 20.53 02a57513o0092c       0
57513.274855 18.900000      NaN     24    26 c    0   1.07 105.8277 23.02908  3448.78  5387.55 4.06 3.75 -52.8 -0.468    18.93 20.56 02a57513o0117c       0
57669.635377 19.696897      NaN     -9    16 c    0   0.68 105.8277 23.02908  6130.38  4539.81 3.72 3.50 -83.9 -0.410    19.41 21.15 02a57669o0757c    8192
57685.584048 19.401649      NaN     -2    21 c    0   1.03 105.8277 23.02908  8914.68  3224.13 3.98 3.57 -83.4 -0.402    19.17 20.79 02a57685o0713c       0
57685.600030 19.128787      NaN     26    19 c    0   1.15 105.8277 23.02908  8928.45  3268.72 4.02 3.60 -83.5 -0.398    19.20 20.85 02a57685o0736c       0
57685.616127 19.351140      NaN      2    22 c    0   0.93 105.8277 23.02908  8876.53  3190.77 3.98 3.56 -82.6 -0.407    19.15 20.77 02a57685o0759c       0
57685.632300 19.454622      NaN    -33    20 c    0   1.12 105.8277 23.02908  8854.92  3308.47 3.97 3.56 -82.2 -0.409    19.15 20.76 02a57685o0782c       0
57685.648336 18.286218      NaN     19    53 c    0   1.17 105.8277 23.02908  1624.74  7197.49 4.60 3.86   7.0 -0.428    18.30 19.41 02a57685o0805c       0
57689.582279 19.766969      NaN     -3    15 c    0   1.15 105.8277 23.02908  8116.80  4435.57 3.70 3.33 -79.9 -0.435    19.58 21.36 02a57689o0720c       0
57689.598065 19.766969      NaN    -12    15 c    0   1.10 105.8277 23.02908  8132.23  4479.70 3.80 3.41 -80.2 -0.421    19.56 21.35 02a57689o0744c       0
57689.613471 19.674510      NaN      6    15 c    0   1.10 105.8277 23.02908  2441.87  6045.83 3.73 3.56  47.7 -0.443    19.54 21.33 02a57689o0768c       0
57689.629663 19.696897      NaN    -21    16 c    0   1.37 105.8277 23.02908  2455.12  5932.13 3.82 3.61  25.2 -0.433    19.47 21.24 02a57689o0792c       0
57689.646116 19.351140      NaN     -1    22 c    0   0.94 105.8277 23.02908  2418.04  5987.37 3.60 3.50  42.6 -0.466    19.15 20.55 02a57689o0816c       0
57693.572530 14.977151      NaN   1748   654 c    0   1.17 105.8277 23.02908  5909.60  3613.41 3.95 3.77  88.6 -0.367    15.94 17.60 02a57693o0683c       2
57693.589426 19.841877      NaN    -10    14 c    0   1.07 105.8277 23.02908  5925.38  3657.33 4.08 3.91 -90.0 -0.366    19.48 21.39 02a57693o0709c       0
57693.604865 19.631075      NaN     -7    17 c    0   1.07 105.8277 23.02908  4648.64  6871.81 3.92 3.86  24.5 -0.391    19.40 21.27 02a57693o0733c       0
57693.620920 19.367717      NaN     10    19 c    0   1.12 105.8277 23.02908  4662.45  6756.04 3.81 3.76  29.2 -0.408    19.32 21.12 02a57693o0757c       0
57693.637151 18.542463      NaN     24    39 c    0   1.21 105.8277 23.02908  4624.01  6811.98 4.03 3.97  68.0 -0.386    18.24 19.95 02a57693o0781c       0
57697.570415 19.696897      NaN    -40    16 c    0   1.18 105.8277 23.02908  6679.04  5726.07 3.77 3.54 -81.7 -0.411    19.66 21.59 02a57697o0482c       0
57697.577393 19.696897      NaN    -52    16 c    0   1.38 105.8277 23.02908  6696.46  5767.36 3.78 3.55 -76.4 -0.421    19.65 21.59 02a57697o0493c       0
57697.592714 19.766969      NaN     -3    15 c    0   0.87 105.8277 23.02908  3872.12  4763.52 3.82 3.65  77.9 -0.404    19.65 21.56 02a57697o0517c       0
57697.608350 19.674510      NaN      6    15 c    0   0.92 105.8277 23.02908  3886.97  4647.79 3.88 3.74  76.8 -0.398    19.62 21.54 02a57697o0541c       0
57697.623860 19.841877      NaN    -10    14 c    0   1.40 105.8277 23.02908  3849.46  4703.91 3.78 3.68  81.3 -0.413    19.63 21.54 02a57697o0565c       0
57721.520337 19.569016      NaN    -67    18 c    0   1.11 105.8277 23.02908  7645.25  2454.90 5.13 4.95 -82.6 -0.334    19.38 21.71 02a57721o0604c    4096
57721.528704 19.076453      NaN     36    17 c    0   1.02 105.8277 23.02908  2853.73  7954.15 4.97 4.77  11.6 -0.336    19.45 21.74 02a57721o0619c       0
57721.536960 19.183773      NaN     16    21 c    0   1.13 105.8277 23.02908  2905.47  8035.72 5.02 4.57   9.6 -0.341    19.20 21.43 02a57721o0634c       0
57721.549403 19.241693      NaN     15    20 c    0   0.84 105.8277 23.02908  2920.24  7916.91 4.97 4.44  -0.7 -0.340    19.44 21.67 02a57721o0656c       0
57745.456856 19.334813      NaN     27    14 c    0   0.76 105.8277 23.02908  5572.39  4444.71 3.78 3.62 -89.6 -0.395    19.67 21.61 02a57745o0501c       0
57745.471215 19.589310      NaN     10    15 c    0   1.14 105.8277 23.02908  4927.76  5968.99 3.96 3.89   9.9 -0.384    19.60 21.61 02a57745o0526c       0
